# Building up from Genesis
# Whenever the 3rd and 4th column disappears it means the minter stuck for one reason or another
# I was forced to "reboot" using my other machine's db at one point as I was unable to get the minter to react in any way for several days.
# On May 27th the log entry changes, this is due to the minter catching up to the height where I personally joined Qortal and got sponsored (thanks Qortal Rose :), so it starts showing my status (first M for minting, then L1 / L2 for reaching next levels)

# Findings:
# 1) It took from May 17th 19:49 to June 17th 14:25 (local time) to reach the height (this was my second try, pls read below)
# 2) My log is for every five minutes and it can clearly be seen that as the height developed less and less height could be acquired in that 5 minutes
#    I presume this is due to more and more users in Qortal ie more and more to calculate when trying to catch up. Does this also imply that the further the height grows, the more impossible it becomes for someone to start from Genesis?
# ================ Log entries to visualize above point of decreasing trend
##29.05.2021 24H minted: 10796
##30.05.2021 24H minted: 9812
##31.05.2021 24H minted: 6731
##01.06.2021 24H minted: 5827
##02.06.2021 24H minted: 5457
##03.06.2021 24H minted: 3639
##04.06.2021 24H minted: 3011
##05.06.2021 24H minted: 3087
##14.06.2021 24H minted: 87303 (days long period where I could not get system running and was forced to cheat)
##15.06.2021 24H minted: 1032
##16.06.2021 24H minted: 2849
##17.06.2021 24H minted: 2089
##18.06.2021 24H minted: 1935
##19.06.2021 24H minted: 1074
# ================
# Every midnight my logger logs the version number and it shows clearly that the auto update works.

# Other:
# On May 14th I got Caldescent's help when running into stuck height "there's a bug in 1.5.1 preventing syncing from genesis. It gets stuck on a few specific blocks."
# so after getting the patched jar I was able to pass 46101, the magic number.
# On May 17th Caldescent was able to point out that I'd formatted my disk in the wrong way so I had to start from scratch after proper format "Just wondering if it's FAT32 and you're hitting the 4GB limit for a single file...
I formatted my drive to ext4 to avoid that"
# On May 18th Moose_onthe_Loose (thanks man!) adviced me to keep fan on all the time and temp dropped by 10 ° C and have stayed low.

# Raw log from here on
#19:49 17.05.2021 started with pid 10266
19:50                   M  (1s 63.4°C cons)
19:55        1 1    9999 e102e  (1s 62.8°C 8cons)
20:00        1 0    9999 e102e  (1s 60.7°C 10cons)
20:05        1 0    9999 e102e  (1s 61.2°C 10cons)
20:10        1 0    9999 e102e  (1s 61.8°C 9cons)
20:15        1 0    9999 e102e  (0s 61.2°C 10cons)
20:20        1 0    9999 e102e  (1s 61.2°C 10cons)
20:25        1 0    9999 e102e  (1s 62.3°C 7cons)
20:30        1 0    9999 e102e  (0s 61.2°C 8cons)
20:35        1 0    9999 e102e  (1s 62.8°C 10cons)
20:40        1 0    9999 e102e  (1s 61.2°C 8cons)
20:45        1 0    9999 e102e  (1s 60.7°C 10cons)
20:50        1 0    9999 e102e  (0s 63.4°C 7cons)
20:55        1 0    9999 e102e  (1s 61.8°C 10cons)
21:00        1 0    9999 e102e  (1s 60.7°C 10cons)
21:05        1 0    9999 e102e  (1s 61.2°C 9cons)
21:10        1 0    9999 e102e  (0s 61.2°C 9cons)
21:15        1 0    9999 e102e  (2s 62.8°C 10cons)
21:20      140 139  9999 e102e  (103s 60.1°C 10cons)
21:25      540 400  9999 e102e  (307s 62.3°C 10cons)
21:30      540 0    9999 e102e  (8s 62.3°C 10cons)
21:35      788 248  9999 e102e  (34s 61.8°C 11cons)
21:40     1108 320  9999 e102e  (72s 62.3°C 10cons)
21:45     1188 80   9999 e102e  (33s 61.2°C 10cons)
21:50     1396 208  9999 e102e  (7s 61.8°C 10cons)
21:55     1680 284  9999 e102e  (1s 63.4°C 10cons)
22:00     1686 6    9999 e102e  (1s 62.3°C 10cons)
22:05     1823 137  9999 e102e  (0s 61.2°C 8cons)
22:10     2012 189  9999 e102e  (32s 60.7°C 11cons)
22:15     2274 262  9999 e102e  (69s 61.2°C 10cons)
22:20     2496 222  9999 e102e  (29s 61.8°C 10cons)
22:25     2666 170  9999 e102e  (60s 61.2°C 10cons)
22:30     2792 126  9999 e102e  (0s 60.7°C 8cons)
22:35     3035 243  9999 e102e  (3s 60.1°C 10cons)
22:40     3203 168  9999 e102e  (0s 62.3°C 9cons)
22:45     3420 217  9999 e102e  (90s 61.2°C 10cons)
22:55     3820 400  9999 e102e  (27s 64.5°C 11cons)
22:50     3820 400  9999 e102e  (327s 63.9°C 10cons)
23:00     4220 400  9999 e102e  (74s 63.4°C 11cons)
23:05     4458 238  9999 e102e  (5s 61.2°C 10cons)
23:10     4616 158  9999 e102e  (71s 61.8°C 10cons)
23:15     4816 200  9999 e102e  (8s 62.3°C 10cons)
23:20     4971 155  9999 e102e  (13s 60.7°C 10cons)
23:25     5023 52   9999 e102e  (0s 63.4°C 10cons)
23:30     5366 343  9999 e102e  (273s 61.8°C 11cons)
23:35     5366 0    9999 e102e  (1s 62.8°C 8cons)
23:40     5621 255  9999 e102e  (4s 61.8°C 11cons)
23:45     5821 200  9999 e102e  (2s 61.2°C 11cons)
23:50     5821 0    9999 e102e  (0s 61.2°C 7cons)
23:55     5941 120  9999 e102e  (37s 60.7°C 10cons)
##18.05.2021 24H minted: 9999
#V18.05.2021 core version: 1.5.1-6532c25
